# x y z block_id volume
2.476190476190476275e-02 5.911939311871903906e-03 0.000000000000000000e+00 3 1.340575807680703722e-07
2.523809523809523656e-02 5.839043558273116462e-03 0.000000000000000000e+00 3 1.324046158338574885e-07
2.571428571428571383e-02 5.769234242738491454e-03 0.000000000000000000e+00 3 1.308216381573354060e-07
2.619047619047619110e-02 5.702499508778349074e-03 0.000000000000000000e+00 3 1.293083788838627904e-07
2.666666666666666491e-02 5.638834265623880217e-03 0.000000000000000000e+00 3 1.278647225765052199e-07
2.714285714285714218e-02 5.578227488245031916e-03 0.000000000000000000e+00 3 1.264904192345812229e-07
2.761904761904761946e-02 5.520675571524234250e-03 0.000000000000000000e+00 3 1.251853871093930544e-07
2.809523809523809673e-02 5.466166878120013936e-03 0.000000000000000000e+00 3 1.239493623156465465e-07
2.857142857142857054e-02 5.414700629019028426e-03 0.000000000000000000e+00 3 1.227823271886400762e-07
2.904761904761904781e-02 5.366264635859917601e-03 0.000000000000000000e+00 3 1.216840053482974444e-07
2.952380952380952508e-02 5.320858073959615700e-03 0.000000000000000000e+00 3 1.206543780943223442e-07
2.999999999999999889e-02 5.278472064302068209e-03 0.000000000000000000e+00 3 1.196932440884822497e-07
3.047619047619047616e-02 5.239102611527230585e-03 0.000000000000000000e+00 3 1.188005127330437757e-07
3.095238095238095344e-02 5.202746409921712306e-03 0.000000000000000000e+00 3 1.179761090685195478e-07
3.142857142857143071e-02 5.169395598357506144e-03 0.000000000000000000e+00 3 1.172198548380386749e-07
3.190476190476190799e-02 5.139051290782764569e-03 0.000000000000000000e+00 3 1.165317753011964774e-07
3.238095238095237832e-02 5.111705591796955432e-03 0.000000000000000000e+00 3 1.159116914239672441e-07
3.285714285714285560e-02 5.087356201845883233e-03 0.000000000000000000e+00 3 1.153595510622649100e-07
3.333333333333333287e-02 5.066002688040954077e-03 0.000000000000000000e+00 3 1.148753444000216244e-07
3.380952380952381015e-02 5.047638630517875015e-03 0.000000000000000000e+00 3 1.144589258620833185e-07
3.428571428571428742e-02 5.032265061009105062e-03 0.000000000000000000e+00 3 1.141103188437438616e-07
3.476190476190476469e-02 5.019879195807927692e-03 0.000000000000000000e+00 3 1.138294602224019941e-07
3.523809523809523503e-02 5.010477440063716530e-03 0.000000000000000000e+00 3 1.136162684821704306e-07
3.571428571428571230e-02 5.004063137546679342e-03 0.000000000000000000e+00 3 1.134708194455029237e-07
3.619047619047618958e-02 5.000631907732206415e-03 0.000000000000000000e+00 3 1.133930137807756437e-07
3.666666666666666685e-02 5.000000000000004441e-03 0.000000000000000000e+00 3 1.133786848072563371e-07
3.714285714285714413e-02 5.000000000000004441e-03 0.000000000000000000e+00 3 1.133786848072563371e-07
3.761904761904762140e-02 5.000000000000004441e-03 0.000000000000000000e+00 3 1.133786848072563371e-07
3.809523809523809867e-02 5.000000000000004441e-03 0.000000000000000000e+00 3 1.133786848072563371e-07
3.857142857142856901e-02 5.000000000000004441e-03 0.000000000000000000e+00 3 1.133786848072563371e-07
3.904761904761904628e-02 5.000000000000004441e-03 0.000000000000000000e+00 3 1.133786848072563371e-07
3.952380952380952356e-02 5.000000000000004441e-03 0.000000000000000000e+00 3 1.133786848072563371e-07
4.000000000000000083e-02 5.000000000000004441e-03 0.000000000000000000e+00 3 1.133786848072563371e-07
4.047619047619047811e-02 5.000000000000004441e-03 0.000000000000000000e+00 3 1.133786848072563371e-07
4.095238095238095538e-02 5.000000000000004441e-03 0.000000000000000000e+00 3 1.133786848072563371e-07
4.142857142857142572e-02 5.000000000000004441e-03 0.000000000000000000e+00 3 1.133786848072563371e-07
4.190476190476190299e-02 5.000000000000004441e-03 0.000000000000000000e+00 3 1.133786848072563371e-07
4.238095238095238027e-02 5.000000000000004441e-03 0.000000000000000000e+00 3 1.133786848072563371e-07
4.285714285714285754e-02 5.000000000000004441e-03 0.000000000000000000e+00 3 1.133786848072563371e-07
4.333333333333333481e-02 5.000000000000004441e-03 0.000000000000000000e+00 3 1.133786848072563371e-07
4.380952380952381209e-02 5.000000000000004441e-03 0.000000000000000000e+00 3 1.133786848072563371e-07
4.428571428571428242e-02 5.000000000000004441e-03 0.000000000000000000e+00 3 1.133786848072563371e-07
4.476190476190475970e-02 5.000000000000004441e-03 0.000000000000000000e+00 3 1.133786848072563371e-07
4.523809523809523697e-02 5.000000000000004441e-03 0.000000000000000000e+00 3 1.133786848072563371e-07
4.571428571428571425e-02 5.000000000000004441e-03 0.000000000000000000e+00 3 1.133786848072563371e-07
4.619047619047619152e-02 5.000000000000004441e-03 0.000000000000000000e+00 3 1.133786848072563371e-07
4.666666666666666879e-02 5.000000000000004441e-03 0.000000000000000000e+00 3 1.133786848072563371e-07
4.714285714285714607e-02 5.000000000000004441e-03 0.000000000000000000e+00 3 1.133786848072563371e-07
4.761904761904761640e-02 5.000000000000004441e-03 0.000000000000000000e+00 3 1.133786848072563371e-07
4.809523809523809368e-02 5.000000000000004441e-03 0.000000000000000000e+00 3 1.133786848072563371e-07
4.857142857142857095e-02 5.000000000000004441e-03 0.000000000000000000e+00 3 1.133786848072563371e-07
4.904761904761904823e-02 5.000000000000004441e-03 0.000000000000000000e+00 3 1.133786848072563371e-07
4.952380952380952550e-02 5.000000000000004441e-03 0.000000000000000000e+00 3 1.133786848072563371e-07
