DxNo,FxNo,DxSto1,FxSto1,DxSto2,FxSto2,DxSto3,FxSto3
0.714014,426,0.731632,434,0.752205,440,0.752205,440
0.714021,426,0.731638,434,0.752211,440,0.752211,440
0.714028,426,0.731645,434,0.752216,441,0.752216,441
0.714034,426,0.731651,434,0.752222,441,0.752222,441
0.714041,426,0.731658,434,0.752228,441,0.752228,441
0.714048,426,0.731664,434,0.752234,442,0.752234,442
0.714054,426,0.731671,433,0.75224,442,0.75224,442
0.714061,426,0.731677,433,0.752246,442,0.752246,442
0.714067,426,0.731684,433,0.752251,442,0.752251,442
0.714074,426,0.731691,433,0.752257,442,0.752257,442
0.714081,426,0.731697,433,0.752263,443,0.752263,443
0.714087,426,0.731704,433,0.752269,443,0.752269,443
0.714094,426,0.73171,433,0.752275,443,0.752275,443
0.7141,426,0.731717,433,0.75228,443,0.75228,443
0.714107,426,0.731723,433,0.752286,443,0.752286,443
0.714114,426,0.73173,433,0.752292,443,0.752292,443
0.71412,426,0.731736,433,0.752298,443,0.752298,443
0.714127,426,0.731743,433,0.752304,443,0.752304,443
0.714134,426,0.731749,433,0.75231,444,0.75231,444
0.71414,426,0.731756,434,0.752315,444,0.752315,444
0.714147,426,0.731763,434,0.752321,444,0.752321,444
0.714153,426,0.731769,434,0.752327,445,0.752327,445
0.71416,426,0.731776,434,0.752333,445,0.752333,445
0.714167,426,0.731782,434,0.752339,445,0.752339,445
0.714173,426,0.731789,434,0.752345,445,0.752345,445
0.71418,426,0.731795,434,0.75235,445,0.75235,445
0.714187,426,0.731802,434,0.752356,445,0.752356,445
0.714193,426,0.731808,434,0.752362,444,0.752362,444
0.7142,426,0.731815,434,0.752368,444,0.752368,444
0.714206,426,0.731822,434,0.752374,443,0.752374,443
0.714213,426,0.731828,434,0.752379,443,0.752379,443
0.71422,426,0.731835,434,0.752385,443,0.752385,443
0.714226,426,0.731841,434,0.752391,442,0.752391,442
0.714233,426,0.731848,434,0.752397,442,0.752397,442
0.714239,426,0.731854,434,0.752403,442,0.752403,442
0.714246,426,0.731861,434,0.752409,442,0.752409,442
0.714253,426,0.731867,434,0.752414,442,0.752414,442
0.714259,426,0.731874,434,0.75242,442,0.75242,442
0.714266,426,0.731881,434,0.752426,442,0.752426,442
0.714273,426,0.731887,434,0.752432,442,0.752432,442
0.714279,426,0.731894,434,0.752438,442,0.752438,442
0.714286,425,0.7319,434,0.752444,442,0.752444,442
0.714292,425,0.731907,434,0.752449,442,0.752449,442
0.714299,425,0.731913,433,0.752455,442,0.752455,442
0.714306,425,0.73192,433,0.752461,442,0.752461,442
0.714312,425,0.731926,433,0.752467,442,0.752467,442
0.714319,425,0.731933,433,0.752473,442,0.752473,442
0.714326,425,0.73194,432,0.752479,443,0.752479,443
0.714332,425,0.731946,432,0.752484,443,0.752484,443
0.714339,425,0.731953,432,0.75249,443,0.75249,443
0.714345,426,0.731959,432,0.752496,443,0.752496,443
0.714352,426,0.731966,432,0.752502,442,0.752502,442
0.714359,426,0.731972,432,0.752508,442,0.752508,442
0.714365,426,0.731979,432,0.752513,442,0.752513,442
0.714372,426,0.731985,431,0.752519,442,0.752519,442
0.714379,426,0.731992,431,0.752525,442,0.752525,442
0.714385,426,0.731999,432,0.752531,441,0.752531,441
0.714392,426,0.732005,432,0.752537,441,0.752537,441
0.714398,426,0.732012,432,0.752543,440,0.752543,440
0.714405,426,0.732018,433,0.752548,440,0.752548,440
0.714412,426,0.732025,433,0.752554,440,0.752554,440
0.714418,426,0.732031,434,0.75256,439,0.75256,439
0.714425,426,0.732038,434,0.752566,439,0.752566,439
0.714431,426,0.732044,434,0.752572,439,0.752572,439
0.714438,425,0.732051,435,0.752578,439,0.752578,439
0.714445,425,0.732057,435,0.752583,439,0.752583,439
0.714451,425,0.732064,435,0.752589,440,0.752589,440
0.714458,424,0.732071,435,0.752595,440,0.752595,440
0.714465,424,0.732077,435,0.752601,440,0.752601,440
0.714471,424,0.732084,435,0.752607,440,0.752607,440
0.714478,424,0.73209,435,0.752612,440,0.752612,440
0.714484,424,0.732097,435,0.752618,440,0.752618,440
0.714491,424,0.732103,435,0.752624,440,0.752624,440
0.714498,424,0.73211,435,0.75263,440,0.75263,440
0.714504,424,0.732116,435,0.752636,440,0.752636,440
0.714511,425,0.732123,435,0.752642,440,0.752642,440
0.714518,425,0.73213,434,0.752647,440,0.752647,440
0.714524,425,0.732136,434,0.752653,440,0.752653,440
0.714531,425,0.732143,434,0.752659,440,0.752659,440
0.714537,425,0.732149,434,0.752665,440,0.752665,440
0.714544,425,0.732156,433,0.752671,440,0.752671,440
0.714551,424,0.732162,433,0.752677,440,0.752677,440
0.714557,424,0.732169,433,0.752682,440,0.752682,440
0.714564,424,0.732175,433,0.752688,441,0.752688,441
0.71457,424,0.732182,433,0.752694,441,0.752694,441
0.714577,424,0.732189,433,0.7527,441,0.7527,441
0.714584,424,0.732195,433,0.752706,441,0.752706,441
0.71459,424,0.732202,433,0.752712,441,0.752712,441
0.714597,424,0.732208,433,0.752717,442,0.752717,442
0.714604,424,0.732215,433,0.752723,442,0.752723,442
0.71461,424,0.732221,432,0.752729,442,0.752729,442
0.714617,424,0.732228,432,0.752735,441,0.752735,441
0.714623,424,0.732234,432,0.752741,441,0.752741,441
0.71463,423,0.732241,432,0.752746,440,0.752746,440
0.714637,423,0.732248,432,0.752752,440,0.752752,440
0.714643,423,0.732254,432,0.752758,440,0.752758,440
0.71465,423,0.732261,432,0.752764,439,0.752764,439
0.714657,423,0.732267,432,0.75277,439,0.75277,439
0.714663,423,0.732274,432,0.752776,439,0.752776,439
0.71467,424,0.73228,432,0.752781,439,0.752781,439
0.714676,423,0.732287,432,0.752787,440,0.752787,440
0.714683,423,0.732293,432,0.752793,440,0.752793,440
0.71469,423,0.7323,432,0.752799,441,0.752799,441
0.714696,423,0.732307,432,0.752805,441,0.752805,441
0.714703,423,0.732313,432,0.752811,441,0.752811,441
0.714709,423,0.73232,432,0.752816,442,0.752816,442
0.714716,423,0.732326,432,0.752822,442,0.752822,442
0.714723,423,0.732333,432,0.752828,442,0.752828,442
0.714729,424,0.732339,432,0.752834,442,0.752834,442
0.714736,424,0.732346,432,0.75284,442,0.75284,442
0.714743,424,0.732352,431,0.752845,442,0.752845,442
0.714749,424,0.732359,431,0.752851,442,0.752851,442
0.714756,424,0.732366,431,0.752857,441,0.752857,441
0.714762,424,0.732372,432,0.752863,441,0.752863,441
0.714769,424,0.732379,432,0.752869,440,0.752869,440
0.714776,424,0.732385,432,0.752875,440,0.752875,440
0.714782,424,0.732392,432,0.75288,440,0.75288,440
0.714789,424,0.732398,433,0.752886,440,0.752886,440
0.714796,424,0.732405,433,0.752892,440,0.752892,440
0.714802,424,0.732411,433,0.752898,439,0.752898,439
0.714809,425,0.732418,434,0.752904,440,0.752904,440
0.714815,425,0.732424,434,0.75291,440,0.75291,440
0.714822,425,0.732431,434,0.752915,440,0.752915,440
0.714829,425,0.732438,434,0.752921,440,0.752921,440
0.714835,425,0.732444,434,0.752927,440,0.752927,440
0.714842,425,0.732451,434,0.752933,440,0.752933,440
0.714848,425,0.732457,433,0.752939,440,0.752939,440
0.714855,425,0.732464,433,0.752945,440,0.752945,440
0.714862,425,0.73247,432,0.75295,440,0.75295,440
0.714868,425,0.732477,432,0.752956,440,0.752956,440
0.714875,425,0.732483,432,0.752962,440,0.752962,440
0.714882,425,0.73249,431,0.752968,440,0.752968,440
0.714888,425,0.732497,431,0.752974,440,0.752974,440
0.714895,424,0.732503,431,0.752979,440,0.752979,440
0.714901,424,0.73251,431,0.752985,440,0.752985,440
0.714908,424,0.732516,430,0.752991,440,0.752991,440
0.714915,424,0.732523,430,0.752997,440,0.752997,440
0.714921,424,0.732529,430,0.753003,440,0.753003,440
0.714928,424,0.732536,430,0.753009,440,0.753009,440
0.714935,424,0.732542,430,0.753014,439,0.753014,439
0.714941,424,0.732549,430,0.75302,439,0.75302,439
0.714948,424,0.732556,430,0.753026,439,0.753026,439
0.714954,424,0.732562,430,0.753032,439,0.753032,439
0.714961,425,0.732569,431,0.753038,439,0.753038,439
0.714968,425,0.732575,431,0.753044,439,0.753044,439
0.714974,425,0.732582,431,0.753049,439,0.753049,439
0.714981,425,0.732588,432,0.753055,439,0.753055,439
0.714987,425,0.732595,432,0.753061,439,0.753061,439
0.714994,425,0.732601,432,0.753067,439,0.753067,439
0.715001,425,0.732608,433,0.753073,439,0.753073,439
0.715007,425,0.732615,433,0.753079,440,0.753079,440
0.715014,425,0.732621,433,0.753084,440,0.753084,440
0.715021,425,0.732628,433,0.75309,440,0.75309,440
0.715027,425,0.732634,433,0.753096,440,0.753096,440
0.715034,425,0.732641,432,0.753102,440,0.753102,440
0.71504,424,0.732647,432,0.753108,441,0.753108,441
0.715047,424,0.732654,432,0.753113,441,0.753113,441
0.715054,424,0.73266,431,0.753119,441,0.753119,441
0.71506,424,0.732667,431,0.753125,441,0.753125,441
0.715067,425,0.732674,431,0.753131,441,0.753131,441
0.715074,425,0.73268,431,0.753137,441,0.753137,441
0.71508,425,0.732687,431,0.753143,441,0.753143,441
0.715087,424,0.732693,431,0.753148,441,0.753148,441
0.715093,424,0.7327,431,0.753154,441,0.753154,441
0.7151,424,0.732706,431,0.75316,441,0.75316,441
0.715107,424,0.732713,431,0.753166,441,0.753166,441
0.715113,424,0.732719,431,0.753172,441,0.753172,441
0.71512,425,0.732726,432,0.753178,441,0.753178,441
0.715126,425,0.732732,432,0.753183,441,0.753183,441
0.715133,425,0.732739,433,0.753189,442,0.753189,442
0.71514,425,0.732746,433,0.753195,442,0.753195,442
0.715146,425,0.732752,433,0.753201,443,0.753201,443
0.715153,425,0.732759,433,0.753207,443,0.753207,443
0.71516,425,0.732765,434,0.753212,444,0.753212,444
0.715166,425,0.732772,434,0.753218,444,0.753218,444
0.715173,425,0.732778,434,0.753224,444,0.753224,444
0.715179,425,0.732785,434,0.75323,444,0.75323,444
0.715186,425,0.732791,434,0.753236,444,0.753236,444
0.715193,425,0.732798,434,0.753242,444,0.753242,444
0.715199,425,0.732805,434,0.753247,444,0.753247,444
0.715206,425,0.732811,434,0.753253,444,0.753253,444
0.715213,425,0.732818,434,0.753259,444,0.753259,444
0.715219,425,0.732824,434,0.753265,444,0.753265,444
0.715226,426,0.732831,433,0.753271,444,0.753271,444
0.715232,426,0.732837,433,0.753277,445,0.753277,445
0.715239,426,0.732844,432,0.753282,445,0.753282,445
0.715246,426,0.73285,432,0.753288,445,0.753288,445
0.715252,425,0.732857,431,0.753294,445,0.753294,445
0.715259,425,0.732864,431,0.7533,445,0.7533,445
0.715265,425,0.73287,431,0.753306,445,0.753306,445
0.715272,425,0.732877,431,0.753312,445,0.753312,445
0.715279,425,0.732883,431,0.753317,445,0.753317,445
0.715285,426,0.73289,431,0.753323,445,0.753323,445
0.715292,426,0.732896,431,0.753329,446,0.753329,446
0.715299,426,0.732903,431,0.753335,446,0.753335,446
0.715305,426,0.732909,431,0.753341,447,0.753341,447
0.715312,425,0.732916,432,0.753346,447,0.753346,447
0.715318,425,0.732923,432,0.753352,447,0.753352,447
0.715325,425,0.732929,432,0.753358,447,0.753358,447
0.715332,425,0.732936,432,0.753364,447,0.753364,447
0.715338,425,0.732942,432,0.75337,446,0.75337,446
