DxNo,FxNo,DxSto1,FxSto1,DxSto2,FxSto2,DxSto3,FxSto3
0.776536,527,0.776536,529,0.776536,529,0.776536,529
0.776551,527,0.776551,529,0.776551,529,0.776551,529
0.776567,527,0.776567,529,0.776567,529,0.776567,529
0.776582,527,0.776582,529,0.776582,529,0.776582,529
0.776597,527,0.776597,529,0.776597,529,0.776597,529
0.776613,527,0.776613,529,0.776613,529,0.776613,529
0.776628,527,0.776628,529,0.776628,529,0.776628,529
0.776643,527,0.776643,529,0.776643,529,0.776643,529
0.776659,527,0.776659,529,0.776659,529,0.776659,529
0.776674,527,0.776674,529,0.776674,529,0.776674,529
0.776689,527,0.776689,530,0.776689,530,0.776689,530
0.776705,527,0.776705,530,0.776705,530,0.776705,530
0.77672,527,0.77672,530,0.77672,530,0.77672,530
0.776735,527,0.776735,530,0.776735,530,0.776735,530
0.776751,527,0.776751,530,0.776751,530,0.776751,530
0.776766,527,0.776766,530,0.776766,530,0.776766,530
0.776782,527,0.776782,530,0.776782,530,0.776782,530
0.776797,527,0.776797,530,0.776797,530,0.776797,530
0.776812,527,0.776812,530,0.776812,530,0.776812,530
0.776828,527,0.776828,530,0.776828,530,0.776828,530
0.776843,527,0.776843,530,0.776843,530,0.776843,530
0.776858,527,0.776858,530,0.776858,530,0.776858,530
0.776874,527,0.776874,530,0.776874,530,0.776874,530
0.776889,527,0.776889,530,0.776889,530,0.776889,530
0.776904,527,0.776904,530,0.776904,529,0.776904,529
0.77692,527,0.77692,529,0.77692,529,0.77692,529
0.776935,527,0.776935,529,0.776935,529,0.776935,529
0.776951,527,0.776951,529,0.776951,529,0.776951,529
0.776966,528,0.776966,529,0.776966,528,0.776966,528
0.776981,528,0.776981,528,0.776981,528,0.776981,528
0.776997,528,0.776997,528,0.776997,528,0.776997,528
0.777012,528,0.777012,528,0.777012,528,0.777012,528
0.777027,529,0.777027,528,0.777027,527,0.777027,527
0.777043,529,0.777043,527,0.777043,527,0.777043,527
0.777058,529,0.777058,527,0.777058,527,0.777058,527
0.777073,529,0.777073,527,0.777073,527,0.777073,527
0.777089,529,0.777089,527,0.777089,527,0.777089,527
0.777104,529,0.777104,527,0.777104,527,0.777104,527
0.77712,529,0.77712,527,0.77712,527,0.77712,527
0.777135,529,0.777135,526,0.777135,526,0.777135,526
0.77715,529,0.77715,526,0.77715,526,0.77715,526
0.777166,529,0.777166,526,0.777166,526,0.777166,526
0.777181,529,0.777181,526,0.777181,526,0.777181,526
0.777196,529,0.777196,526,0.777196,526,0.777196,526
0.777212,529,0.777212,526,0.777212,526,0.777212,526
0.777227,529,0.777227,526,0.777227,526,0.777227,526
0.777242,529,0.777242,526,0.777242,526,0.777242,526
0.777258,529,0.777258,526,0.777258,526,0.777258,526
0.777273,528,0.777273,526,0.777273,526,0.777273,526
0.777289,528,0.777289,526,0.777289,526,0.777289,526
0.777304,528,0.777304,526,0.777304,526,0.777304,526
0.777319,528,0.777319,526,0.777319,526,0.777319,526
0.777335,528,0.777335,526,0.777335,526,0.777335,526
0.77735,529,0.77735,526,0.77735,527,0.77735,527
0.777365,529,0.777365,527,0.777365,527,0.777365,527
0.777381,529,0.777381,527,0.777381,527,0.777381,527
0.777396,529,0.777396,527,0.777396,527,0.777396,527
0.777411,529,0.777411,527,0.777411,527,0.777411,527
0.777427,529,0.777427,527,0.777427,527,0.777427,527
0.777442,529,0.777442,527,0.777442,527,0.777442,527
0.777458,529,0.777458,527,0.777458,527,0.777458,527
0.777473,529,0.777473,528,0.777473,527,0.777473,527
0.777488,530,0.777488,528,0.777488,527,0.777488,527
0.777504,530,0.777504,528,0.777504,527,0.777504,527
0.777519,530,0.777519,528,0.777519,527,0.777519,527
0.777534,530,0.777534,528,0.777534,527,0.777534,527
0.77755,530,0.77755,528,0.77755,527,0.77755,527
0.777565,530,0.777565,527,0.777565,527,0.777565,527
0.77758,530,0.77758,527,0.77758,527,0.77758,527
0.777596,530,0.777596,527,0.777596,527,0.777596,527
0.777611,530,0.777611,527,0.777611,527,0.777611,527
0.777627,531,0.777627,527,0.777627,527,0.777627,527
0.777642,531,0.777642,527,0.777642,527,0.777642,527
0.777657,531,0.777657,527,0.777657,527,0.777657,527
0.777673,531,0.777673,527,0.777673,527,0.777673,527
0.777688,531,0.777688,527,0.777688,527,0.777688,527
0.777703,531,0.777703,527,0.777703,527,0.777703,527
0.777719,531,0.777719,527,0.777719,527,0.777719,527
0.777734,531,0.777734,527,0.777734,527,0.777734,527
0.777749,531,0.777749,527,0.777749,527,0.777749,527
0.777765,531,0.777765,527,0.777765,528,0.777765,528
0.77778,531,0.77778,527,0.77778,528,0.77778,528
0.777796,531,0.777796,528,0.777796,528,0.777796,528
0.777811,531,0.777811,528,0.777811,528,0.777811,528
0.777826,532,0.777826,528,0.777826,528,0.777826,528
0.777842,532,0.777842,528,0.777842,528,0.777842,528
0.777857,532,0.777857,528,0.777857,528,0.777857,528
0.777872,532,0.777872,528,0.777872,528,0.777872,528
0.777888,532,0.777888,528,0.777888,528,0.777888,528
0.777903,532,0.777903,528,0.777903,528,0.777903,528
0.777918,532,0.777918,528,0.777918,528,0.777918,528
0.777934,532,0.777934,528,0.777934,528,0.777934,528
0.777949,532,0.777949,528,0.777949,528,0.777949,528
0.777965,532,0.777965,528,0.777965,528,0.777965,528
0.77798,532,0.77798,528,0.77798,528,0.77798,528
0.777995,532,0.777995,528,0.777995,528,0.777995,528
0.778011,532,0.778011,528,0.778011,528,0.778011,528
0.778026,532,0.778026,528,0.778026,528,0.778026,528
0.778041,531,0.778041,528,0.778041,528,0.778041,528
0.778057,531,0.778057,528,0.778057,528,0.778057,528
0.778072,531,0.778072,528,0.778072,528,0.778072,528
0.778087,531,0.778087,528,0.778087,528,0.778087,528
0.778103,531,0.778103,529,0.778103,529,0.778103,529
0.778118,531,0.778118,529,0.778118,529,0.778118,529
0.778134,531,0.778134,529,0.778134,529,0.778134,529
0.778149,531,0.778149,529,0.778149,529,0.778149,529
0.778164,531,0.778164,529,0.778164,529,0.778164,529
0.77818,531,0.77818,530,0.77818,529,0.77818,529
0.778195,531,0.778195,530,0.778195,530,0.778195,530
0.77821,531,0.77821,530,0.77821,530,0.77821,530
0.778226,531,0.778226,530,0.778226,530,0.778226,530
0.778241,531,0.778241,530,0.778241,530,0.778241,530
0.778256,531,0.778256,530,0.778256,530,0.778256,530
0.778272,531,0.778272,530,0.778272,530,0.778272,530
0.778287,531,0.778287,530,0.778287,530,0.778287,530
0.778303,531,0.778303,530,0.778303,530,0.778303,530
0.778318,531,0.778318,530,0.778318,530,0.778318,530
0.778333,531,0.778333,530,0.778333,530,0.778333,530
0.778349,531,0.778349,530,0.778349,531,0.778349,531
0.778364,531,0.778364,531,0.778364,531,0.778364,531
0.778379,531,0.778379,531,0.778379,531,0.778379,531
0.778395,532,0.778395,531,0.778395,531,0.778395,531
0.77841,532,0.77841,531,0.77841,531,0.77841,531
0.778425,532,0.778425,531,0.778425,531,0.778425,531
0.778441,532,0.778441,531,0.778441,531,0.778441,531
0.778456,532,0.778456,531,0.778456,531,0.778456,531
0.778472,532,0.778472,531,0.778472,531,0.778472,531
0.778487,532,0.778487,531,0.778487,531,0.778487,531
0.778502,533,0.778502,531,0.778502,531,0.778502,531
0.778518,533,0.778518,531,0.778518,531,0.778518,531
0.778533,533,0.778533,531,0.778533,531,0.778533,531
0.778548,533,0.778548,531,0.778548,531,0.778548,531
0.778564,533,0.778564,531,0.778564,531,0.778564,531
0.778579,533,0.778579,531,0.778579,531,0.778579,531
0.778594,533,0.778594,530,0.778594,530,0.778594,530
0.77861,533,0.77861,530,0.77861,530,0.77861,530
0.778625,533,0.778625,530,0.778625,530,0.778625,530
0.778641,533,0.778641,530,0.778641,530,0.778641,530
0.778656,533,0.778656,530,0.778656,530,0.778656,530
0.778671,533,0.778671,530,0.778671,530,0.778671,530
0.778687,533,0.778687,530,0.778687,530,0.778687,530
0.778702,533,0.778702,530,0.778702,530,0.778702,530
0.778717,533,0.778717,530,0.778717,530,0.778717,530
0.778733,533,0.778733,530,0.778733,530,0.778733,530
0.778748,532,0.778748,530,0.778748,530,0.778748,530
0.778763,532,0.778763,530,0.778763,530,0.778763,530
0.778779,532,0.778779,530,0.778779,530,0.778779,530
0.778794,532,0.778794,530,0.778794,530,0.778794,530
0.77881,532,0.77881,530,0.77881,530,0.77881,530
0.778825,532,0.778825,530,0.778825,530,0.778825,530
0.77884,532,0.77884,530,0.77884,530,0.77884,530
0.778856,532,0.778856,530,0.778856,530,0.778856,530
0.778871,532,0.778871,530,0.778871,530,0.778871,530
0.778886,532,0.778886,531,0.778886,530,0.778886,530
0.778902,532,0.778902,531,0.778902,530,0.778902,530
0.778917,532,0.778917,531,0.778917,531,0.778917,531
0.778932,532,0.778932,531,0.778932,531,0.778932,531
0.778948,532,0.778948,531,0.778948,531,0.778948,531
0.778963,532,0.778963,531,0.778963,531,0.778963,531
0.778979,532,0.778979,531,0.778979,531,0.778979,531
0.778994,532,0.778994,531,0.778994,531,0.778994,531
0.779009,532,0.779009,531,0.779009,531,0.779009,531
0.779025,532,0.779025,531,0.779025,531,0.779025,531
0.77904,532,0.77904,531,0.77904,531,0.77904,531
0.779055,532,0.779055,531,0.779055,531,0.779055,531
0.779071,532,0.779071,531,0.779071,531,0.779071,531
0.779086,532,0.779086,532,0.779086,532,0.779086,532
0.779101,532,0.779101,532,0.779101,532,0.779101,532
0.779117,532,0.779117,532,0.779117,532,0.779117,532
0.779132,532,0.779132,532,0.779132,532,0.779132,532
0.779148,532,0.779148,532,0.779148,532,0.779148,532
0.779163,532,0.779163,532,0.779163,532,0.779163,532
0.779178,533,0.779178,532,0.779178,532,0.779178,532
0.779194,533,0.779194,532,0.779194,532,0.779194,532
0.779209,533,0.779209,532,0.779209,532,0.779209,532
0.779224,533,0.779224,532,0.779224,532,0.779224,532
0.77924,533,0.77924,532,0.77924,532,0.77924,532
0.779255,533,0.779255,532,0.779255,532,0.779255,532
0.77927,533,0.77927,532,0.77927,532,0.77927,532
0.779286,534,0.779286,532,0.779286,532,0.779286,532
0.779301,534,0.779301,532,0.779301,532,0.779301,532
0.779317,534,0.779317,532,0.779317,532,0.779317,532
0.779332,534,0.779332,532,0.779332,532,0.779332,532
0.779347,534,0.779347,532,0.779347,532,0.779347,532
0.779363,534,0.779363,532,0.779363,532,0.779363,532
0.779378,534,0.779378,532,0.779378,532,0.779378,532
0.779393,534,0.779393,532,0.779393,532,0.779393,532
0.779409,534,0.779409,532,0.779409,532,0.779409,532
0.779424,534,0.779424,531,0.779424,531,0.779424,531
0.779439,534,0.779439,531,0.779439,531,0.779439,531
0.779455,534,0.779455,531,0.779455,531,0.779455,531
0.77947,534,0.77947,531,0.77947,531,0.77947,531
0.779486,534,0.779486,531,0.779486,531,0.779486,531
0.779501,534,0.779501,531,0.779501,531,0.779501,531
0.779516,534,0.779516,531,0.779516,531,0.779516,531
0.779532,534,0.779532,531,0.779532,531,0.779532,531
0.779547,534,0.779547,531,0.779547,531,0.779547,531
0.779562,534,0.779562,531,0.779562,531,0.779562,531
0.779578,534,0.779578,531,0.779578,531,0.779578,531
0.779593,534,0.779593,531,0.779593,531,0.779593,531
0.779608,534,0.779608,531,0.779608,531,0.779608,531
0.779624,534,0.779624,531,0.779624,531,0.779624,531
0.779639,534,0.779639,531,0.779639,531,0.779639,531
0.779655,534,0.779655,531,0.779655,531,0.779655,531
0.77967,534,0.77967,531,0.77967,531,0.77967,531
0.779685,534,0.779685,531,0.779685,531,0.779685,531
0.779701,534,0.779701,531,0.779701,531,0.779701,531
0.779716,534,0.779716,531,0.779716,531,0.779716,531
0.779731,534,0.779731,531,0.779731,532,0.779731,532
0.779747,534,0.779747,531,0.779747,532,0.779747,532
0.779762,534,0.779762,531,0.779762,532,0.779762,532
0.779777,534,0.779777,532,0.779777,532,0.779777,532
0.779793,534,0.779793,532,0.779793,532,0.779793,532
0.779808,534,0.779808,532,0.779808,532,0.779808,532
0.779824,534,0.779824,532,0.779824,532,0.779824,532
0.779839,534,0.779839,532,0.779839,532,0.779839,532
0.779854,534,0.779854,532,0.779854,532,0.779854,532
0.77987,533,0.77987,532,0.77987,532,0.77987,532
0.779885,533,0.779885,533,0.779885,532,0.779885,532
0.7799,533,0.7799,533,0.7799,533,0.7799,533
0.779916,533,0.779916,533,0.779916,533,0.779916,533
0.779931,533,0.779931,533,0.779931,533,0.779931,533
0.779946,533,0.779946,533,0.779946,533,0.779946,533
0.779962,533,0.779962,533,0.779962,533,0.779962,533
0.779977,533,0.779977,533,0.779977,533,0.779977,533
0.779993,533,0.779993,534,0.779993,534,0.779993,534
0.780008,533,0.780008,534,0.780008,534,0.780008,534
0.780023,533,0.780023,534,0.780023,534,0.780023,534
0.780039,533,0.780039,534,0.780039,534,0.780039,534
0.780054,533,0.780054,534,0.780054,534,0.780054,534
0.780069,533,0.780069,534,0.780069,534,0.780069,534
0.780085,533,0.780085,534,0.780085,534,0.780085,534
0.7801,533,0.7801,534,0.7801,534,0.7801,534
0.780115,532,0.780115,534,0.780115,534,0.780115,534
0.780131,532,0.780131,534,0.780131,534,0.780131,534
0.780146,532,0.780146,534,0.780146,534,0.780146,534
0.780162,532,0.780162,534,0.780162,534,0.780162,534
0.780177,532,0.780177,534,0.780177,534,0.780177,534
0.780192,531,0.780192,534,0.780192,534,0.780192,534
0.780208,531,0.780208,534,0.780208,534,0.780208,534
0.780223,531,0.780223,534,0.780223,534,0.780223,534
0.780238,531,0.780238,534,0.780238,534,0.780238,534
0.780254,531,0.780254,533,0.780254,534,0.780254,534
0.780269,531,0.780269,533,0.780269,534,0.780269,534
0.780284,531,0.780284,533,0.780284,533,0.780284,533
0.7803,531,0.7803,533,0.7803,533,0.7803,533
0.780315,530,0.780315,533,0.780315,533,0.780315,533
0.78033,530,0.78033,533,0.78033,533,0.78033,533
0.780346,530,0.780346,533,0.780346,533,0.780346,533
0.780361,530,0.780361,533,0.780361,533,0.780361,533
0.780377,530,0.780377,533,0.780377,533,0.780377,533
0.780392,530,0.780392,533,0.780392,533,0.780392,533
0.780407,530,0.780407,533,0.780407,533,0.780407,533
0.780423,530,0.780423,533,0.780423,533,0.780423,533
0.780438,530,0.780438,533,0.780438,533,0.780438,533
0.780453,530,0.780453,533,0.780453,533,0.780453,533
0.780469,530,0.780469,533,0.780469,533,0.780469,533
0.780484,530,0.780484,533,0.780484,533,0.780484,533
0.780499,530,0.780499,533,0.780499,533,0.780499,533
0.780515,530,0.780515,533,0.780515,533,0.780515,533
0.78053,530,0.78053,533,0.78053,532,0.78053,532
0.780546,530,0.780546,532,0.780546,532,0.780546,532
0.780561,530,0.780561,532,0.780561,532,0.780561,532
0.780576,530,0.780576,532,0.780576,532,0.780576,532
0.780592,530,0.780592,532,0.780592,532,0.780592,532
0.780607,530,0.780607,532,0.780607,532,0.780607,532
0.780622,530,0.780622,532,0.780622,532,0.780622,532
0.780638,530,0.780638,532,0.780638,532,0.780638,532
0.780653,530,0.780653,532,0.780653,532,0.780653,532
0.780668,530,0.780668,532,0.780668,533,0.780668,533
