Dx1.5,Fx1.5,Dx1,Fx1,Dx0.5625,Fx0.5625
0.778799,616,0.910863,672,0.695024,413
0.778819,616,0.910875,672,0.701643,418
0.778839,616,0.910888,672,0.708262,421
0.778859,616,0.9109,672,0.714882,425
0.778879,616,0.910912,672,0.721501,429
0.778898,616,0.910924,672,0.72812,435
0.778918,616,0.910936,672,0.734739,438
0.778938,616,0.910948,672,0.741359,443
0.778958,616,0.910961,672,0.747978,448
0.778978,616,0.910973,672,0.9945,589
0.778998,616,0.910985,672,0.994506,589
0.779018,616,0.910997,672,0.994513,589
0.779038,616,0.911009,672,0.994519,589
0.779058,616,0.911021,672,0.994526,589
0.779078,616,0.911034,672,0.994533,590
0.779098,616,0.911046,672,0.994539,590
0.779118,616,0.911058,672,0.994546,590
0.779138,616,0.91107,672,0.994553,590
0.779158,616,0.911082,672,0.994559,590
0.779178,616,0.911094,672,0.994566,590
0.779198,616,0.911107,672,0.994572,590
0.779218,616,0.911119,672,0.994579,590
0.779238,616,0.911131,672,0.994586,590
0.779258,616,0.911143,672,0.994592,590
0.779278,615,0.911155,672,0.994599,590
0.779298,615,0.911167,672,0.994605,590
0.779318,615,0.911179,672,0.994612,590
0.779338,615,0.911192,672,0.994619,590
0.779358,615,0.911204,672,0.994625,589
0.779377,615,0.911216,672,0.994632,589
0.779397,615,0.911228,672,0.994639,588
0.779417,615,0.91124,672,0.994645,588
0.779437,615,0.911252,672,0.994652,588
0.779457,615,0.911265,672,0.994658,588
0.779477,615,0.911277,672,0.994665,588
0.779497,615,0.911289,672,0.994672,588
0.779517,615,0.911301,673,0.994678,588
0.779537,615,0.911313,673,0.994685,588
0.779557,615,0.911325,673,0.994692,589
0.779577,615,0.911338,673,0.994698,589
0.779597,615,0.91135,673,0.994705,589
0.779617,615,0.911362,673,0.994711,590
0.779637,615,0.911374,673,0.994718,590
0.779657,615,0.911386,673,0.994725,591
0.779677,615,0.911398,674,0.994731,591
0.779697,615,0.911411,674,0.994738,591
0.779717,616,0.911423,674,0.994744,591
0.779737,616,0.911435,674,0.994751,590
0.779757,616,0.911447,673,0.994758,590
0.779777,616,0.911459,673,0.994764,590
0.779797,616,0.911471,673,0.994771,589
0.779817,616,0.911484,673,0.994778,590
0.779837,616,0.911496,673,0.994784,590
0.779856,616,0.911508,673,0.994791,590
0.779876,616,0.91152,673,0.994797,589
0.779896,616,0.911532,673,0.994804,589
0.779916,616,0.911544,673,0.994811,589
0.779936,616,0.911557,673,0.994817,588
0.779956,616,0.911569,673,0.994824,588
0.779976,616,0.911581,673,0.994831,587
0.779996,616,0.911593,673,0.994837,587
0.780016,616,0.911605,673,0.994844,587
0.780036,616,0.911617,673,0.99485,588
0.780056,616,0.91163,673,0.994857,588
0.780076,616,0.911642,673,0.994864,588
0.780096,616,0.911654,673,0.99487,589
0.780116,616,0.911666,673,0.994877,589
0.780136,616,0.911678,673,0.994883,589
0.780156,616,0.91169,673,0.99489,589
0.780176,616,0.911703,673,0.994897,590
0.780196,617,0.911715,672,0.994903,590
0.780216,617,0.911727,672,0.99491,591
0.780236,617,0.911739,672,0.994917,591
0.780256,617,0.911751,672,0.994923,592
0.780276,617,0.911763,672,0.99493,592
0.780296,617,0.911776,672,0.994936,592
0.780315,617,0.911788,672,0.994943,593
0.780335,617,0.9118,673,0.99495,593
0.780355,617,0.911812,673,0.994956,593
0.780375,617,0.911824,673,0.994963,593
0.780395,618,0.911836,673,0.99497,593
0.780415,618,0.911849,673,0.994976,593
0.780435,618,0.911861,673,0.994983,592
0.780455,618,0.911873,672,0.994989,592
0.780475,618,0.911885,672,0.994996,591
0.780495,618,0.911897,672,0.995003,591
