Dx1.5,Fx1.5,Dx1,Fx1,Dx0.5625,Fx0.5625
0.751317,593,0.850405,627,0.695024,413
0.751337,593,0.850417,627,0.701643,418
0.751357,593,0.850429,627,0.708262,421
0.751376,593,0.850441,627,0.714882,425
0.751396,593,0.850454,627,0.721501,429
0.751416,593,0.850466,627,0.72812,435
0.751436,593,0.850478,627,0.734739,438
0.751456,593,0.85049,627,0.741359,443
0.751476,593,0.850502,627,0.747978,448
0.751496,593,0.850514,627,0.749997,447
0.751516,594,0.850527,627,0.750003,447
0.751536,594,0.850539,627,0.75001,447
0.751556,594,0.850551,627,0.750017,447
0.751576,594,0.850563,627,0.750023,447
0.751596,594,0.850575,628,0.75003,447
0.751616,594,0.850587,628,0.750037,447
0.751636,594,0.8506,627,0.750043,447
0.751656,594,0.850612,627,0.75005,447
0.751676,593,0.850624,627,0.750056,447
0.751696,593,0.850636,627,0.750063,447
0.751716,593,0.850648,627,0.75007,447
0.751736,593,0.85066,627,0.750076,447
0.751756,593,0.850673,627,0.750083,447
0.751776,593,0.850685,627,0.750089,447
0.751796,593,0.850697,627,0.750096,447
0.751816,594,0.850709,627,0.750103,447
0.751836,594,0.850721,627,0.750109,447
0.751855,594,0.850733,627,0.750116,447
0.751875,594,0.850746,627,0.750123,447
0.751895,594,0.850758,627,0.750129,447
0.751915,594,0.85077,627,0.750136,447
0.751935,594,0.850782,627,0.750142,447
0.751955,594,0.850794,627,0.750149,447
0.751975,595,0.850806,627,0.750156,447
0.751995,595,0.850819,627,0.750162,447
0.752015,595,0.850831,627,0.750169,447
0.752035,595,0.850843,627,0.750176,447
0.752055,595,0.850855,627,0.750182,447
0.752075,595,0.850867,627,0.750189,447
0.752095,595,0.850879,627,0.750195,447
0.752115,595,0.850892,627,0.750202,447
0.752135,595,0.850904,627,0.750209,447
0.752155,596,0.850916,627,0.750215,447
0.752175,596,0.850928,627,0.750222,447
0.752195,596,0.85094,627,0.750228,447
0.752215,596,0.850952,627,0.750235,447
0.752235,596,0.850965,627,0.750242,447
0.752255,596,0.850977,627,0.750248,447
0.752275,596,0.850989,627,0.750255,447
0.752295,596,0.851001,627,0.750262,447
0.752315,596,0.851013,627,0.750268,447
0.752334,596,0.851025,628,0.750275,447
0.752354,596,0.851038,628,0.750281,447
0.752374,597,0.85105,628,0.750288,447
0.752394,597,0.851062,628,0.750295,447
0.752414,597,0.851074,628,0.750301,447
0.752434,597,0.851086,628,0.750308,447
0.752454,597,0.851098,628,0.750315,447
0.752474,597,0.851111,628,0.750321,447
0.752494,597,0.851123,628,0.750328,447
0.752514,597,0.851135,628,0.750334,447
0.752534,597,0.851147,628,0.750341,447
0.752554,597,0.851159,628,0.750348,447
0.752574,597,0.851171,628,0.750354,447
0.752594,597,0.851184,628,0.750361,447
0.752614,597,0.851196,628,0.750367,447
0.752634,597,0.851208,628,0.750374,447
0.752654,597,0.85122,628,0.750381,447
0.752674,597,0.851232,628,0.750387,447
0.752694,597,0.851244,628,0.750394,447
0.752714,597,0.851257,628,0.750401,447
0.752734,597,0.851269,628,0.750407,447
0.752754,597,0.851281,628,0.750414,447
0.752774,597,0.851293,628,0.75042,447
0.752793,597,0.851305,628,0.750427,447
0.752813,597,0.851317,628,0.750434,447
0.752833,597,0.85133,628,0.75044,447
0.752853,598,0.851342,628,0.750447,447
0.752873,598,0.851354,628,0.750454,447
0.752893,598,0.851366,628,0.75046,447
0.752913,598,0.851378,628,0.750467,447
0.752933,598,0.85139,628,0.750473,447
0.752953,598,0.851403,628,0.75048,446
0.752973,598,0.851415,628,0.750487,446
0.752993,598,0.851427,628,0.750493,446
0.753013,598,0.851439,628,0.7505,446
