Dx5,Fx5,Dx4,Fx4,Dx3,Fx3,Dx2,Fx2,Dx1.5,Fx1.5,Dx1.2,Fx1.2,Dx1,Fx1,Dx0.875,Fx0.875
0.50743,782,0.505261,660,,,0.701491,585,0.750746,542,0.775368,529,0.750171,567,0.750079,723
0.507537,783,0.505338,660,,,0.701521,585,0.750766,542,0.775384,528,0.750184,567,0.75009,723
0.507644,784,0.505415,660,,,0.70155,585,0.750786,542,0.775399,528,0.750196,567,0.750101,723
0.50775,785,0.505492,660,,,0.701579,585,0.750806,542,0.775414,528,0.750208,567,0.750112,723
0.507857,785,0.505569,661,,,0.701608,586,0.750827,542,0.77543,528,0.750221,567,0.750124,723
0.507964,785,0.505646,661,,,0.701637,586,0.750847,542,0.775445,528,0.750233,567,0.750135,723
0.508071,785,0.505723,662,,,0.701667,586,0.750867,542,0.77546,528,0.750245,567,0.750146,723
0.508178,785,0.5058,661,,,0.701696,586,0.750887,542,0.775476,528,0.750258,567,0.750157,723
0.508285,786,0.505877,661,,,0.701725,586,0.750908,542,0.775491,528,0.75027,567,0.750168,723
0.508392,786,0.505954,661,,,0.701754,586,0.750928,542,0.775506,528,0.750282,567,0.750179,723
0.508499,785,0.506031,661,,,0.701783,586,0.750948,542,0.775522,528,0.750295,567,0.75019,723
0.508605,784,0.506108,661,,,0.701812,586,0.750968,542,0.775537,528,0.750307,567,0.750201,723
0.508712,784,0.506185,662,,,0.701842,586,0.750989,542,0.775553,528,0.750319,567,0.750212,723
0.508819,784,0.506262,662,,,0.701871,587,0.751009,542,0.775568,528,0.750332,567,0.750223,723
0.508926,784,0.506339,662,,,0.7019,587,0.751029,543,0.775583,528,0.750344,567,0.750234,723
0.509033,783,0.506416,661,,,0.701929,587,0.751049,543,0.775599,528,0.750356,567,0.750245,723
0.50914,782,0.506493,661,,,0.701958,587,0.75107,543,0.775614,528,0.750368,567,0.750257,723
0.509247,782,0.50657,661,,,0.701988,587,0.75109,543,0.775629,528,0.750381,567,0.750268,723
0.509354,781,0.506647,662,,,0.702017,587,0.75111,543,0.775645,528,0.750393,566,0.750279,723
0.50946,782,0.506724,662,,,0.702046,587,0.75113,544,0.77566,528,0.750405,566,0.75029,723
0.509567,782,0.506801,662,,,0.702075,587,0.751151,544,0.775675,528,0.750418,566,0.750301,723
0.509674,783,0.506878,662,,,0.702104,587,0.751171,544,0.775691,528,0.75043,566,0.750312,723
0.509781,782,0.506955,661,,,0.702133,587,0.751191,544,0.775706,528,0.750442,566,0.750323,723
0.509888,783,0.507032,660,,,0.702163,587,0.751211,544,0.775722,528,0.750455,566,0.750334,723
0.509995,783,0.507109,659,,,0.702192,587,0.751232,544,0.775737,528,0.750467,566,0.750345,723
0.510102,784,0.507186,660,,,0.702221,587,0.751252,544,0.775752,528,0.750479,566,0.750356,723
0.510209,786,0.507263,660,,,0.70225,587,0.751272,544,0.775768,528,0.750492,566,0.750367,723
0.510315,786,0.50734,661,,,0.702279,587,0.751292,544,0.775783,527,0.750504,567,0.750379,723
0.510422,786,0.507417,661,,,0.702309,587,0.751313,544,0.775798,527,0.750516,567,0.75039,723
0.510529,787,0.507495,660,,,0.702338,587,0.751333,544,0.775814,527,0.750529,567,0.750401,723
0.510636,787,0.507572,659,,,0.702367,587,0.751353,544,0.775829,528,0.750541,567,0.750412,723
0.510743,788,0.507649,660,,,0.702396,587,0.751373,544,0.775844,528,0.750553,567,0.750423,723
0.51085,789,0.507726,660,,,0.702425,588,0.751394,544,0.77586,528,0.750566,567,0.750434,723
0.510957,789,0.507803,661,,,0.702454,588,0.751414,544,0.775875,528,0.750578,567,0.750445,723
0.511064,788,0.50788,661,,,0.702484,588,0.751434,544,0.775891,528,0.75059,567,0.750456,723
0.51117,788,0.507957,661,,,0.702513,588,0.751454,544,0.775906,529,0.750602,567,0.750467,723
0.511277,788,0.508034,660,,,0.702542,588,0.751475,544,0.775921,529,0.750615,567,0.750478,723
0.511384,789,0.508111,659,,,0.702571,588,0.751495,544,0.775937,529,0.750627,566,0.750489,723
0.511491,789,0.508188,658,,,0.7026,588,0.751515,544,0.775952,530,0.750639,566,0.7505,723
0.511598,789,0.508265,659,,,0.70263,587,0.751535,544,0.775967,530,0.750652,566,0.750512,723
0.511705,789,0.508342,660,,,0.702659,587,0.751556,544,0.775983,530,0.750664,566,0.750523,723
0.511812,789,0.508419,660,,,0.702688,587,0.751576,544,0.775998,530,0.750676,566,0.750534,723
0.511918,790,0.508496,660,,,0.702717,587,0.751596,545,0.776013,530,0.750689,566,0.750545,723
0.512025,791,0.508573,661,,,0.702746,587,0.751616,545,0.776029,531,0.750701,566,0.750556,723
0.512132,791,0.50865,662,,,0.702776,587,0.751637,545,0.776044,531,0.750713,566,0.750567,723
0.512239,792,0.508727,663,,,0.702805,587,0.751657,545,0.77606,531,0.750726,566,0.750578,722
0.512346,791,0.508804,664,,,0.702834,587,0.751677,545,0.776075,531,0.750738,566,0.750589,722
0.512453,792,0.508881,665,,,0.702863,586,0.751697,545,0.77609,531,0.75075,566,0.7506,722
0.51256,792,0.508958,667,,,0.702892,587,0.751718,546,0.776106,531,0.750763,566,0.750611,722
0.512667,792,0.509035,667,,,0.702921,587,0.751738,546,0.776121,531,0.750775,566,0.750622,722
0.512773,792,0.509112,668,,,0.702951,587,0.751758,546,0.776136,531,0.750787,566,0.750633,722
0.51288,791,0.509189,668,,,0.70298,587,0.751778,546,0.776152,531,0.750799,566,0.750645,722
0.512987,790,0.509266,667,,,0.703009,587,0.751799,546,0.776167,531,0.750812,566,0.750656,722
0.513094,790,0.509343,667,,,0.703038,587,0.751819,547,0.776182,531,0.750824,566,0.750667,722
0.513201,790,0.50942,667,,,0.703067,587,0.751839,547,0.776198,531,0.750836,566,0.750678,722
0.513308,790,0.509497,667,,,0.703097,587,0.751859,547,0.776213,531,0.750849,566,0.750689,722
0.513415,789,0.509574,666,,,0.703126,587,0.75188,547,0.776229,531,0.750861,566,0.7507,722
0.513522,788,0.509651,666,,,0.703155,587,0.7519,548,0.776244,531,0.750873,566,0.750711,721
0.513628,788,0.509728,666,,,0.703184,586,0.75192,548,0.776259,530,0.750886,566,0.750722,721
0.513735,788,0.509806,665,,,0.703213,586,0.75194,548,0.776275,530,0.750898,566,0.750733,721
0.513842,788,0.509883,665,,,0.703242,586,0.751961,548,0.77629,530,0.75091,566,0.750744,721
0.513949,789,0.50996,665,,,0.703272,586,0.751981,549,0.776305,530,0.750923,566,0.750755,721
0.514056,790,0.510037,665,,,0.703301,586,0.752001,549,0.776321,530,0.750935,566,0.750766,721
0.514163,790,0.510114,666,,,0.70333,586,0.752021,549,0.776336,530,0.750947,566,0.750778,721
0.51427,790,0.510191,666,,,0.703359,586,0.752042,549,0.776351,529,0.75096,567,0.750789,721
0.514377,791,0.510268,667,,,0.703388,586,0.752062,549,0.776367,529,0.750972,567,0.7508,721
0.514483,792,0.510345,667,,,0.703418,586,0.752082,549,0.776382,529,0.750984,567,0.750811,721
0.51459,793,0.510422,667,,,0.703447,585,0.752102,548,0.776398,528,0.750997,567,0.750822,721
0.514697,794,0.510499,666,,,0.703476,585,0.752123,548,0.776413,528,0.751009,566,0.750833,721
0.514804,794,0.510576,666,,,0.703505,585,0.752143,548,0.776428,528,0.751021,566,0.750844,721
0.514911,794,0.510653,667,,,0.703534,585,0.752163,548,0.776444,527,0.751033,566,0.750855,721
0.515018,795,0.51073,668,,,0.703563,584,0.752183,548,0.776459,527,0.751046,566,0.750866,721
0.515125,795,0.510807,668,,,0.703593,584,0.752204,548,0.776474,527,0.751058,566,0.750877,721
0.515232,796,0.510884,668,,,0.703622,584,0.752224,547,0.77649,527,0.75107,566,0.750888,721
0.515338,796,0.510961,668,,,0.703651,584,0.752244,547,0.776505,527,0.751083,566,0.750899,721
0.515445,796,0.511038,667,,,0.70368,584,0.752264,547,0.77652,527,0.751095,566,0.750911,721
0.515552,795,0.511115,667,,,0.703709,584,0.752284,547,0.776536,527,0.751107,566,0.750922,721
0.515659,796,0.511192,667,,,0.703739,584,0.752305,546,0.776551,527,0.75112,565,0.750933,720
0.515766,796,0.511269,667,,,0.703768,584,0.752325,546,0.776567,527,0.751132,565,0.750944,720
0.515873,796,0.511346,668,,,0.703797,584,0.752345,546,0.776582,527,0.751144,565,0.750955,720
0.51598,796,0.511423,667,,,0.703826,584,0.752365,546,0.776597,527,0.751157,565,0.750966,720
0.516087,796,0.5115,667,,,0.703855,584,0.752386,546,0.776613,527,0.751169,565,0.750977,720
0.516193,796,0.511577,666,,,0.703884,584,0.752406,546,0.776628,527,0.751181,564,0.750988,720
0.5163,796,0.511654,666,,,0.703914,584,0.752426,546,0.776643,527,0.751194,564,0.750999,720
0.516407,797,0.511731,666,,,0.703943,584,0.752446,546,0.776659,527,0.751206,564,0.75101,720
0.516514,798,0.511808,666,,,0.703972,584,0.752467,546,0.776674,527,0.751218,564,0.751021,720
0.516621,798,0.511885,667,,,0.704001,584,0.752487,546,0.776689,527,0.751231,564,0.751033,720
0.516728,798,0.511962,667,,,0.70403,585,0.752507,546,0.776705,527,0.751243,564,0.751044,720
0.516835,797,0.512039,667,,,0.70406,585,0.752527,546,0.77672,527,0.751255,564,0.751055,720
0.516941,798,0.512116,666,,,0.704089,585,0.752548,546,0.776735,527,0.751267,564,0.751066,720
0.517048,798,0.512194,665,,,0.704118,585,0.752568,546,0.776751,527,0.75128,564,0.751077,720
0.517155,798,0.512271,665,,,0.704147,585,0.752588,546,0.776766,527,0.751292,564,0.751088,721
0.517262,798,0.512348,665,,,0.704176,585,0.752608,546,0.776782,527,0.751304,564,0.751099,721
0.517369,797,0.512425,666,,,0.704206,585,0.752629,546,0.776797,527,0.751317,564,0.75111,721
0.517476,796,0.512502,666,,,0.704235,585,0.752649,546,0.776812,527,0.751329,564,0.751121,721
0.517583,796,0.512579,666,,,0.704264,585,0.752669,546,0.776828,527,0.751341,565,0.751132,721
0.51769,795,0.512656,666,,,0.704293,585,0.752689,546,0.776843,527,0.751354,565,0.751143,721
0.517796,795,0.512733,666,,,0.704322,584,0.75271,546,0.776858,527,0.751366,565,0.751154,721
0.517903,795,0.51281,666,,,0.704351,584,0.75273,547,0.776874,527,0.751378,565,0.751166,721
0.51801,794,0.512887,667,,,0.704381,584,0.75275,547,0.776889,527,0.751391,565,0.751177,721
0.518117,794,0.512964,668,,,0.70441,584,0.75277,547,0.776904,527,0.751403,565,0.751188,721
0.518224,795,0.513041,668,,,0.704439,584,0.752791,547,0.77692,527,0.751415,566,0.751199,722
0.518331,796,0.513118,669,,,0.704468,585,0.752811,547,0.776935,527,0.751428,566,0.75121,722
0.518438,797,0.513195,669,,,0.704497,585,0.752831,547,0.776951,527,0.75144,566,0.751221,722
0.518545,797,0.513272,668,,,0.704527,585,0.752851,547,0.776966,528,0.751452,566,0.751232,722
0.518651,797,0.513349,669,,,0.704556,585,0.752872,547,0.776981,528,0.751465,566,0.751243,722
0.518758,798,0.513426,669,,,0.704585,586,0.752892,547,0.776997,528,0.751477,566,0.751254,722
0.518865,799,0.513503,670,,,0.704614,586,0.752912,547,0.777012,528,0.751489,566,0.751265,722
0.518972,800,0.51358,671,,,0.704643,586,0.752932,547,0.777027,529,0.751501,566,0.751276,722
0.519079,801,0.513657,671,,,0.704672,586,0.752953,547,0.777043,529,0.751514,566,0.751287,722
0.519186,801,0.513734,672,,,0.704702,586,0.752973,547,0.777058,529,0.751526,566,0.751299,722
0.519293,801,0.513811,673,,,0.704731,586,0.752993,547,0.777073,529,0.751538,566,0.75131,722
0.5194,802,0.513888,673,,,0.70476,586,0.753013,547,0.777089,529,0.751551,566,0.751321,722
0.519506,802,0.513965,673,,,0.704789,587,0.753034,547,0.777104,529,0.751563,566,0.751332,722
0.519613,803,0.514042,674,,,0.704818,587,0.753054,546,0.77712,529,0.751575,566,0.751343,722
0.51972,803,0.514119,675,,,0.704848,587,0.753074,546,0.777135,529,0.751588,566,0.751354,722
0.519827,802,0.514196,675,,,0.704877,587,0.753094,546,0.77715,529,0.7516,566,0.751365,722
0.519934,802,0.514273,675,,,0.704906,588,0.753115,546,0.777166,529,0.751612,566,0.751376,722
0.520041,802,0.51435,675,,,0.704935,588,0.753135,546,0.777181,529,0.751625,566,0.751387,722
0.520148,802,0.514427,674,,,0.704964,588,0.753155,546,0.777196,529,0.751637,566,0.751398,722
0.520255,803,0.514505,672,,,0.704993,589,0.753175,546,0.777212,529,0.751649,566,0.751409,722
0.520361,803,0.514582,671,,,0.705023,589,0.753196,546,0.777227,529,0.751662,566,0.75142,722
0.520468,803,0.514659,671,,,0.705052,590,0.753216,546,0.777242,529,0.751674,566,0.751432,722
0.520575,803,0.514736,671,,,0.705081,590,0.753236,546,0.777258,529,0.751686,566,0.751443,722
0.520682,803,0.514813,671,,,0.70511,590,0.753256,546,0.777273,528,0.751698,566,0.751454,722
0.520789,803,0.51489,671,,,0.705139,590,0.753277,546,0.777289,528,0.751711,566,0.751465,722
0.520896,803,0.514967,670,,,0.705169,591,0.753297,546,0.777304,528,0.751723,566,0.751476,722
0.521003,803,0.515044,670,,,0.705198,591,0.753317,546,0.777319,528,0.751735,566,0.751487,722
0.52111,803,0.515121,671,,,0.705227,591,0.753337,547,0.777335,528,0.751748,566,0.751498,722
0.521216,802,0.515198,672,,,0.705256,590,0.753358,546,0.77735,529,0.75176,566,0.751509,722
