Gage_Displacement_NodeSet:0,Gage_Displacement_NodeSet:1,Gage_Displacement_NodeSet:2,Reaction_Force:0,Reaction_Force:1,Reaction_Force:2,Time
-0.00107884,-0.000150561,-0.000555991,0.0200557,3.12462e-005,-2.76568e-007,0.000129461
-0.00107896,-0.000150527,-0.000555904,0.0200468,3.16153e-005,-2.97012e-007,0.000129476
-0.00107909,-0.000150488,-0.000555816,0.0200376,3.19604e-005,-3.13798e-007,0.00012949
-0.00107921,-0.000150444,-0.000555725,0.0200283,3.22737e-005,-3.26838e-007,0.000129505
-0.00107933,-0.000150395,-0.000555633,0.0200191,3.2551e-005,-3.36088e-007,0.00012952
-0.00107945,-0.000150341,-0.000555539,0.0200101,3.27918e-005,-3.41541e-007,0.000129535
-0.00107958,-0.000150283,-0.000555444,0.0200017,3.29988e-005,-3.4323e-007,0.000129549
-0.0010797,-0.000150223,-0.000555346,0.0199939,3.31779e-005,-3.41209e-007,0.000129564
-0.00107982,-0.00015016,-0.000555248,0.0199869,3.33371e-005,-3.35549e-007,0.000129579
-0.00107994,-0.000150098,-0.000555148,0.0199811,3.34859e-005,-3.26324e-007,0.000129593
-0.00108007,-0.000150037,-0.000555046,0.0199765,3.36341e-005,-3.13596e-007,0.000129608
-0.00108019,-0.00014998,-0.000554944,0.0199732,3.37906e-005,-2.97412e-007,0.000129623
-0.00108031,-0.000149927,-0.000554842,0.0199712,3.3963e-005,-2.77791e-007,0.000129637
-0.00108043,-0.00014988,-0.000554738,0.0199707,3.41562e-005,-2.54734e-007,0.000129652
-0.00108056,-0.000149839,-0.000554635,0.0199714,3.43718e-005,-2.28221e-007,0.000129667
-0.00108068,-0.000149804,-0.000554531,0.0199734,3.46081e-005,-1.9823e-007,0.000129681
-0.0010808,-0.000149774,-0.000554427,0.0199764,3.48594e-005,-1.64749e-007,0.000129696
-0.00108092,-0.000149748,-0.000554324,0.0199803,3.51167e-005,-1.27801e-007,0.000129711
-0.00108105,-0.000149725,-0.000554222,0.0199848,3.5368e-005,-8.7461e-008,0.000129725
-0.00108117,-0.000149705,-0.00055412,0.0199896,3.55991e-005,-4.38765e-008,0.00012974
-0.00108129,-0.000149684,-0.000554019,0.0199946,3.57945e-005,2.71695e-009,0.000129755
-0.00108141,-0.000149663,-0.00055392,0.0199994,3.59385e-005,5.19888e-008,0.00012977
-0.00108153,-0.00014964,-0.000553822,0.0200038,3.60166e-005,1.03514e-007,0.000129784
-0.00108166,-0.000149616,-0.000553726,0.0200075,3.60164e-005,1.56785e-007,0.000129799
-0.00108178,-0.000149588,-0.000553631,0.0200105,3.59287e-005,2.11227e-007,0.000129814
-0.0010819,-0.000149559,-0.00055354,0.0200125,3.57482e-005,2.6623e-007,0.000129828
-0.00108202,-0.000149528,-0.00055345,0.0200135,3.54743e-005,3.21181e-007,0.000129843
-0.00108215,-0.000149497,-0.000553364,0.0200133,3.51114e-005,3.75498e-007,0.000129858
-0.00108227,-0.000149465,-0.00055328,0.020012,3.46683e-005,4.28669e-007,0.000129872
-0.00108239,-0.000149435,-0.000553199,0.0200095,3.41586e-005,4.80279e-007,0.000129887
-0.00108251,-0.000149406,-0.000553122,0.020006,3.35995e-005,5.30035e-007,0.000129902
-0.00108264,-0.00014938,-0.000553049,0.0200016,3.30112e-005,5.77781e-007,0.000129916
-0.00108276,-0.000149355,-0.000552979,0.0199964,3.24156e-005,6.23498e-007,0.000129931
-0.00108288,-0.000149333,-0.000552913,0.0199905,3.18354e-005,6.67292e-007,0.000129946
-0.001083,-0.000149312,-0.000552852,0.0199842,3.12926e-005,7.09377e-007,0.00012996
-0.00108313,-0.000149292,-0.000552794,0.0199775,3.08075e-005,7.50038e-007,0.000129975
